timestamp,fault_type,recovery_time
2021-01-01 00:30:00,信号质量下降,37
2021-01-01 01:30:00,连接丢失,45
2021-01-01 02:30:00,网络中断,54
2021-01-01 03:30:00,连接丢失,17
2021-01-01 04:30:00,连接丢失,59
2021-01-01 05:30:00,连接丢失,23
2021-01-01 06:30:00,信号质量下降,4
2021-01-01 07:30:00,硬件故障,35
2021-01-01 08:30:00,网络中断,33
2021-01-01 09:30:00,硬件故障,54
2021-01-01 10:30:00,网络中断,25
2021-01-01 11:30:00,信号质量下降,6
2021-01-01 12:30:00,硬件故障,30
2021-01-01 13:30:00,信号质量下降,1
2021-01-01 14:30:00,信号质量下降,36
2021-01-01 15:30:00,硬件故障,23
2021-01-01 16:30:00,连接丢失,16
2021-01-01 17:30:00,信号质量下降,56
2021-01-01 18:30:00,硬件故障,41
2021-01-01 19:30:00,连接丢失,33
2021-01-01 20:30:00,信号质量下降,49
2021-01-01 21:30:00,硬件故障,19
2021-01-01 22:30:00,硬件故障,52
2021-01-01 23:30:00,信号质量下降,45
2021-01-02 00:30:00,网络中断,7
2021-01-02 01:30:00,网络中断,19
2021-01-02 02:30:00,网络中断,48
2021-01-02 03:30:00,连接丢失,54
2021-01-02 04:30:00,信号质量下降,41
2021-01-02 05:30:00,连接丢失,10
2021-01-02 06:30:00,连接丢失,4
2021-01-02 07:30:00,连接丢失,42
2021-01-02 08:30:00,硬件故障,1
2021-01-02 09:30:00,网络中断,49
2021-01-02 10:30:00,网络中断,33
2021-01-02 11:30:00,信号质量下降,50
2021-01-02 12:30:00,硬件故障,28
2021-01-02 13:30:00,连接丢失,33
2021-01-02 14:30:00,网络中断,55
2021-01-02 15:30:00,连接丢失,13
2021-01-02 16:30:00,信号质量下降,43
2021-01-02 17:30:00,网络中断,19
2021-01-02 18:30:00,信号质量下降,42
2021-01-02 19:30:00,信号质量下降,41
2021-01-02 20:30:00,硬件故障,9
2021-01-02 21:30:00,信号质量下降,15
2021-01-02 22:30:00,信号质量下降,38
2021-01-02 23:30:00,网络中断,36
2021-01-03 00:30:00,硬件故障,13
2021-01-03 01:30:00,网络中断,49
2021-01-03 02:30:00,硬件故障,37
2021-01-03 03:30:00,信号质量下降,29
2021-01-03 04:30:00,网络中断,5
2021-01-03 05:30:00,信号质量下降,35
2021-01-03 06:30:00,信号质量下降,38
2021-01-03 07:30:00,网络中断,58
2021-01-03 08:30:00,网络中断,26
2021-01-03 09:30:00,网络中断,14
2021-01-03 10:30:00,硬件故障,5
2021-01-03 11:30:00,连接丢失,32
2021-01-03 12:30:00,连接丢失,57
2021-01-03 13:30:00,硬件故障,46
2021-01-03 14:30:00,网络中断,17
2021-01-03 15:30:00,硬件故障,3
2021-01-03 16:30:00,连接丢失,39
2021-01-03 17:30:00,信号质量下降,47
2021-01-03 18:30:00,信号质量下降,17
2021-01-03 19:30:00,硬件故障,8
2021-01-03 20:30:00,网络中断,19
2021-01-03 21:30:00,信号质量下降,52
2021-01-03 22:30:00,连接丢失,35
2021-01-03 23:30:00,信号质量下降,39
2021-01-04 00:30:00,信号质量下降,55
2021-01-04 01:30:00,连接丢失,48
2021-01-04 02:30:00,信号质量下降,42
2021-01-04 03:30:00,连接丢失,27
2021-01-04 04:30:00,硬件故障,10
2021-01-04 05:30:00,连接丢失,56
2021-01-04 06:30:00,网络中断,31
2021-01-04 07:30:00,连接丢失,21
2021-01-04 08:30:00,信号质量下降,28
2021-01-04 09:30:00,硬件故障,57
2021-01-04 10:30:00,网络中断,2
2021-01-04 11:30:00,硬件故障,6
2021-01-04 12:30:00,网络中断,31
2021-01-04 13:30:00,连接丢失,2
2021-01-04 14:30:00,硬件故障,25
2021-01-04 15:30:00,连接丢失,51
2021-01-04 16:30:00,硬件故障,33
2021-01-04 17:30:00,信号质量下降,16
2021-01-04 18:30:00,连接丢失,35
2021-01-04 19:30:00,信号质量下降,48
2021-01-04 20:30:00,网络中断,2
2021-01-04 21:30:00,信号质量下降,29
